Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,680.018447498,96.6897618788,228.749540711,0.0,34.9616554283,113.312780494,785.999137433,771.595589777,5.66466996096,8.73887769568
 01/01  02:00:00,627.755529269,96.6897618788,167.373025344,0.0,34.9616554283,113.312780494,911.01828552,887.889734493,5.66466996096,17.4638810653
 01/01  03:00:00,635.303764942,96.6897618788,177.233854219,0.0,34.9616554283,113.312780494,853.844218637,830.715874465,5.66466996096,17.4636742112
 01/01  04:00:00,643.358518428,96.6897618788,187.253747896,0.0,34.9616554283,113.312780494,815.508427529,792.380330014,5.66466996096,17.4634275543
 01/01  05:00:00,660.406099053,96.6897618788,198.024842305,0.0,44.4937663224,113.312780494,776.821809437,753.693967893,5.66466996096,17.4631715836
 01/01  06:00:00,680.626772411,96.6897618788,220.867396597,0.0,44.4937663224,113.312780494,737.859522114,706.23493348,14.1616749024,17.4629137317
 01/01  07:00:00,759.212531058,96.6897618788,233.071959444,0.0,54.0258772165,176.889270242,669.142835392,623.35682978,28.3233498048,17.4626558068
 01/01  08:00:00,765.146586216,96.6897618788,244.580555039,0.0,54.0258772165,184.38654557,657.520466141,597.573043186,42.4850247072,17.4623982476
 01/01  09:00:00,849.399428806,96.6897618788,252.784173115,0.0,65.1572554096,220.04316451,638.74272799,555.772332775,56.6466996096,26.3236956059
 01/01  10:00:00,873.956926172,96.6897618788,284.437846553,0.0,65.1572554096,212.545889182,588.688363722,519.738470322,42.4850247072,26.4648686926
 01/01  11:00:00,914.415358739,96.6897618788,317.258759839,0.0,65.1572554096,220.04316451,606.103269945,499.817004138,70.808374512,35.4778912953
 01/01  12:00:00,926.27790531,96.6897618788,328.30607307,0.0,65.1572554096,220.04316451,595.775531061,489.492918549,70.808374512,35.4742379991
 01/01  13:00:00,924.056763576,96.6897618788,330.940020887,0.0,65.1572554096,220.04316451,578.312411019,472.030004881,70.808374512,35.474031626
 01/01  14:00:00,928.870192814,96.6897618788,342.58738764,0.0,65.1572554096,212.545889182,553.528426655,461.415175475,56.6466996096,35.46655157
 01/01  15:00:00,951.407451372,96.6897618788,361.374040005,0.0,65.1572554096,212.545889182,523.114873958,445.167056906,42.4850247072,35.4627923449
 01/01  16:00:00,956.745603867,96.6897618788,370.524924596,0.0,65.1572554096,212.545889182,524.600883196,441.340544476,56.6466996096,26.6136391104
 01/01  17:00:00,938.851862964,96.6897618788,372.595160434,0.0,65.1572554096,220.04316451,584.777950908,464.324280454,84.9700494144,35.4836210394
 01/01  18:00:00,884.041748948,96.6897618788,362.413443584,0.0,54.0258772165,184.38654557,622.595368962,502.347443285,84.9700494144,35.2778762627
 01/01  19:00:00,845.147941133,96.6897618788,354.631142047,0.0,44.4937663224,163.454314868,641.714687235,544.701784792,84.9700494144,12.0428530287
 01/01  20:00:00,842.025289305,96.6897618788,353.822247901,0.0,44.4937663224,155.95703954,623.724858144,552.92158882,56.6466996096,14.1565697137
 01/01  21:00:00,801.521818295,96.6897618788,342.725966128,0.0,44.4937663224,124.558693486,665.953423855,591.842874442,56.6466996096,17.4638498032
 01/01  22:00:00,790.647823058,96.6897618788,334.964803763,0.0,44.4937663224,124.558693486,657.517243666,597.568635663,42.4850247072,17.4635832963
 01/01  23:00:00,784.091033044,96.6897618788,337.035725202,0.0,34.9616554283,124.558693486,658.708485917,612.921813837,28.3233498048,17.4633222759
 01/01  24:00:00,780.812741962,96.6897618788,333.4790391,0.0,34.9616554283,124.558693486,651.252317816,619.627579938,14.1616749024,17.4630629757
 01/02  01:00:00,778.389656557,96.6897618788,333.667558438,0.0,46.0930336215,113.312780494,648.057346554,624.929607333,5.66466996096,17.4630692604
 01/02  02:00:00,781.433431984,96.6897618788,337.799745807,0.0,46.0930336215,113.312780494,651.246613842,628.118898174,5.66466996096,17.4630457061
 01/02  03:00:00,785.028446867,96.6897618788,341.436657585,0.0,46.0930336215,113.312780494,653.845901437,630.718349024,5.66466996096,17.4628824521
 01/02  04:00:00,789.978859532,96.6897618788,350.519318543,0.0,46.0930336215,113.312780494,655.337804552,632.21044891,5.66466996096,17.4626856816
 01/02  05:00:00,879.520029862,96.6897618788,354.57300234,0.0,100.150657288,148.969399434,616.758056108,593.630780796,5.66466996096,17.4626053507
 01/02  06:00:00,889.218690165,96.6897618788,363.954757782,0.0,100.150657288,149.894399434,1237.40355217,1205.778335,14.1616749024,17.4635422709
 01/02  07:00:00,1129.34003678,96.6897618788,372.162446904,0.0,176.471037341,302.612436532,799.51549222,753.730087602,28.3233498048,17.4620548136
 01/02  08:00:00,1239.10521079,96.6897618788,373.052606554,0.0,243.2593065,310.10971186,736.846209687,659.053942478,42.4850247072,35.3072425017
 01/02  09:00:00,1272.62737815,96.6897618788,373.42052946,0.0,243.2593065,310.10971186,700.981207843,608.815141492,56.6466996096,35.5193667417
 01/02  10:00:00,1328.00005738,96.6897618788,395.823240687,0.0,243.2593065,302.612436532,667.612919788,589.430172269,42.4850247072,35.697722811
 01/02  11:00:00,1364.05205805,96.6897618788,424.309549366,0.0,243.2593065,310.10971186,686.534828568,561.787715158,70.808374512,53.9387388976
 01/02  12:00:00,1376.94127418,96.6897618788,436.038016508,0.0,243.2593065,310.10971186,656.277957619,540.410013455,70.808374512,45.0595696519
 01/02  13:00:00,1349.4734741,96.7192507535,450.116692857,0.0,243.2593065,310.10971186,637.2507492,521.679769243,70.808374512,44.7626054455
 01/02  14:00:00,1393.20249001,96.8332615103,460.07226399,0.0,243.2593065,302.612436532,616.506329989,505.790476462,56.6466996096,54.0691539172
 01/02  15:00:00,1395.11516929,96.941701697,461.949315658,0.0,243.2593065,302.612436532,577.614835487,490.178506073,42.4850247072,44.9513047071
 01/02  16:00:00,1390.54680561,97.0392390415,451.344862408,0.0,243.2593065,302.612436532,577.057651791,475.568633638,56.6466996096,44.8423185428
 01/02  17:00:00,1399.9155589,97.1246085912,442.763587405,0.0,243.2593065,310.10971186,599.085901166,469.562649729,84.9700494144,44.5532020221
 01/02  18:00:00,1411.73838207,97.2084109623,448.047613383,0.0,243.2593065,310.10971186,570.993685332,468.426765257,84.9700494144,17.5968706613
 01/02  19:00:00,1157.38590594,96.6897618788,457.477797289,0.0,166.938926447,199.110933808,530.783672856,419.539416722,84.9700494144,26.2742067194
 01/02  20:00:00,1162.56593248,96.6897618788,461.994100191,0.0,166.938926447,191.61365848,497.81235343,423.643035185,56.6466996096,17.5226186353
 01/02  21:00:00,1033.10648714,96.6897618788,462.560033672,0.0,100.150657288,124.558693486,548.96901871,466.048436494,56.6466996096,26.2738826069
 01/02  22:00:00,995.684287453,96.6897618788,462.783483096,0.0,100.150657288,124.558693486,530.948048137,470.995902434,42.4850247072,17.4671209952
 01/02  23:00:00,935.314454422,96.6897618788,466.408509056,0.0,46.0930336215,124.558693486,533.547315753,487.763794189,28.3233498048,17.4601717592
 01/02  24:00:00,933.767093983,96.6897618788,463.331634653,0.0,46.0930336215,124.558693486,524.264604427,492.642950495,14.1616749024,17.4599790297
 01/03  01:00:00,923.041836117,96.6897618788,463.810577151,0.0,46.0930336215,113.312780494,518.686181958,495.561369558,5.66466996096,17.4601424388
 01/03  02:00:00,935.61737693,96.6897618788,469.39642349,0.0,46.0930336215,113.312780494,521.578791696,498.454022883,5.66466996096,17.4600988522
 01/03  03:00:00,942.722061578,96.6897618788,473.537406964,0.0,46.0930336215,113.312780494,523.595666015,500.471023556,5.66466996096,17.4599724977
 01/03  04:00:00,972.268573085,96.6897618788,501.283139263,0.0,46.0930336215,113.312780494,526.319063453,503.194566858,5.66466996096,17.4598266345
 01/03  05:00:00,1066.72280761,96.6897618788,500.243722039,0.0,100.150657288,148.969399434,503.13547272,480.011105189,5.66466996096,17.4596975694
 01/03  06:00:00,1093.87857958,96.6897618788,523.51367601,0.0,100.150657288,149.894399434,902.310290607,870.68905878,14.1616749024,17.4595569251
 01/03  07:00:00,1328.27078426,96.8932461055,526.916620848,0.0,176.471037341,302.612436532,605.627700089,559.844945499,28.3233498048,17.4594047851
 01/03  08:00:00,1441.33119813,97.1984233523,526.496805835,0.0,243.2593065,310.10971186,577.088775133,508.112758499,42.4850247072,26.4909919265
 01/03  09:00:00,1478.07609446,97.32804941,526.237842122,0.0,243.2593065,310.10971186,579.59026764,487.413688917,56.6466996096,35.5298791135
 01/03  10:00:00,1513.42943753,97.4268910611,527.284194269,0.0,243.2593065,302.612436532,561.67591037,474.555784707,42.4850247072,44.6351009559
 01/03  11:00:00,1524.93692374,97.5126018163,530.992649178,0.0,243.2593065,310.10971186,563.984136848,448.227852894,70.808374512,44.9479094413
 01/03  12:00:00,1527.93963249,97.6219845466,535.887248,0.0,243.2593065,310.10971186,562.206580283,437.322890696,70.808374512,54.0753150745
 01/03  13:00:00,1489.64916664,97.8915133695,539.845534942,0.0,243.2593065,310.10971186,534.777834667,428.160280517,70.808374512,35.8091796384
 01/03  14:00:00,1522.64410211,98.2706025179,542.567400357,0.0,243.2593065,302.612436532,526.885698109,416.161473586,56.6466996096,54.0775249129
 01/03  15:00:00,1520.76317665,98.6369321245,544.015333357,0.0,243.2593065,302.612436532,487.230692762,399.787280836,42.4850247072,44.9583872183
 01/03  16:00:00,1519.42321298,99.0662218588,542.787292134,0.0,243.2593065,302.612436532,498.808432556,388.345148461,56.6466996096,53.8165844859
 01/03  17:00:00,1533.54714514,99.3847267001,542.224977359,0.0,243.2593065,310.10971186,518.353691639,397.753868559,84.9700494144,35.6297736651
 01/03  18:00:00,1543.8861773,99.7419233071,540.151197192,0.0,243.2593065,310.10971186,514.536499078,403.179636582,84.9700494144,26.3868130818
 01/03  19:00:00,1274.70225449,96.6897618788,535.740284972,0.0,166.938926447,199.110933808,492.154360586,389.661319586,84.9700494144,17.522991586
 01/03  20:00:00,1268.43857234,96.6897618788,532.780911219,0.0,166.938926447,191.61365848,477.378361304,394.457393753,56.6466996096,26.274267942
 01/03  21:00:00,1131.13525282,96.6897618788,531.50040386,0.0,100.150657288,124.558693486,508.514388086,434.343392805,56.6466996096,17.5242956712
 01/03  22:00:00,1096.77438815,96.6897618788,531.24846739,0.0,100.150657288,124.558693486,499.579127459,439.628177858,42.4850247072,17.4659248939
 01/03  23:00:00,1036.65406139,96.6897618788,528.412304638,0.0,46.0930336215,124.558693486,503.454797397,457.672334723,28.3233498048,17.4591128691
 01/03  24:00:00,980.579962141,96.6897618788,470.58982097,0.0,46.0930336215,124.558693486,497.021814563,465.401168221,14.1616749024,17.4589714392
 01/04  01:00:00,927.380180771,96.6897618788,437.433171484,0.0,46.0930336215,113.312780494,493.174169801,470.048515581,5.66466996096,17.4609842589
 01/04  02:00:00,929.205819647,96.6897618788,443.720038299,0.0,46.0930336215,113.312780494,497.774102317,474.650281634,5.66466996096,17.4591507219
 01/04  03:00:00,924.375103171,96.6897618788,435.950681065,0.0,46.0930336215,113.312780494,502.863320032,479.739560445,5.66466996096,17.4590896259
 01/04  04:00:00,918.881888523,96.6897618788,427.880450084,0.0,46.0930336215,113.312780494,506.782490144,483.658822342,5.66466996096,17.4589978407
 01/04  05:00:00,994.27254981,96.6897618788,412.006871134,0.0,100.150657288,148.969399434,489.090534329,465.966965427,5.66466996096,17.4588989411
 01/04  06:00:00,985.41433766,96.8439617629,400.659191642,0.0,100.150657288,149.894399434,802.30628886,770.682518287,14.1616749024,17.4620956711
 01/04  07:00:00,1206.24736335,97.5497392809,398.127088325,0.0,176.471037341,302.612436532,572.098838168,526.315953704,28.3233498048,17.45953466
 01/04  08:00:00,1315.96124758,98.1390861131,397.322003128,0.0,243.2593065,310.10971186,552.573059533,483.604634106,42.4850247072,26.4834007201
 01/04  09:00:00,1350.37727384,98.7265347485,396.686591018,0.0,243.2593065,310.10971186,558.000303171,465.808665835,56.6466996096,35.5449377265
 01/04  10:00:00,1374.14163918,99.1442291772,395.98406467,0.0,243.2593065,302.612436532,545.600140404,458.488613654,42.4850247072,44.6265020433
 01/04  11:00:00,1372.70798857,99.5926892226,395.742048625,0.0,243.2593065,310.10971186,560.157727881,444.391084706,70.808374512,44.9582686632
 01/04  12:00:00,1391.54622061,100.054017173,417.947033957,0.0,243.2593065,310.10971186,556.423441864,431.536680097,70.808374512,54.0783872551
 01/04  13:00:00,1426.04506187,100.499172746,496.449557086,0.0,243.2593065,310.10971186,535.085081364,419.506419025,70.808374512,44.7702878268
 01/04  14:00:00,1497.10701729,100.901233375,532.692595094,0.0,243.2593065,302.612436532,523.226605593,412.500113126,56.6466996096,54.0797928581
 01/04  15:00:00,1503.63470342,101.252708013,542.625332502,0.0,243.2593065,302.612436532,495.320832795,407.883960701,42.4850247072,44.951847387
 01/04  16:00:00,1499.27558332,101.554469287,546.516454129,0.0,243.2593065,302.612436532,506.74708987,405.251617838,56.6466996096,44.8487724224
 01/04  17:00:00,1514.30716352,101.845539506,549.188141449,0.0,243.2593065,310.10971186,521.858012008,401.240252053,84.9700494144,35.6477105405
 01/04  18:00:00,1524.51325799,102.133173612,552.047627556,0.0,243.2593065,310.10971186,509.373376334,398.015183752,84.9700494144,26.388143167
 01/04  19:00:00,1252.03853542,96.6897618788,553.965603553,0.0,166.938926447,199.110933808,500.172874103,388.928780053,84.9700494144,26.2740446355
 01/04  20:00:00,1243.77228506,96.6897618788,555.677800158,0.0,166.938926447,191.61365848,467.013850269,392.84493155,56.6466996096,17.5222191089
 01/04  21:00:00,1110.41977361,96.6897618788,556.88132673,0.0,100.150657288,124.558693486,515.163167322,432.240873114,56.6466996096,26.2755945984
 01/04  22:00:00,1071.85384838,96.6897618788,557.311695832,0.0,100.150657288,124.558693486,497.432428075,437.480626348,42.4850247072,17.4667770195
 01/04  23:00:00,1006.98136651,96.6897618788,557.448620077,0.0,46.0930336215,124.558693486,501.151927428,455.368701137,28.3233498048,17.4598764855
 01/04  24:00:00,1007.0457785,96.6897618788,556.413317202,0.0,46.0930336215,124.558693486,493.143221043,461.521764221,14.1616749024,17.4597819192
 01/05  01:00:00,992.322721477,96.6897618788,554.196747455,0.0,46.0930336215,113.312780494,488.243592912,465.118892591,5.66466996096,17.4600303593
 01/05  02:00:00,990.704238275,96.6897618788,553.216605534,0.0,46.0930336215,113.312780494,491.626941002,468.502192897,5.66466996096,17.4600781442
 01/05  03:00:00,990.126183439,96.6897618788,552.339736885,0.0,46.0930336215,113.312780494,494.985039797,471.860322568,5.66466996096,17.4600472677
 01/05  04:00:00,984.84399451,96.6897618788,552.674109652,0.0,46.0930336215,113.312780494,497.752070804,474.627403023,5.66466996096,17.4599978202
 01/05  05:00:00,1065.92398734,96.6897618788,555.158095905,0.0,100.150657288,148.969399434,478.269722601,455.145108585,5.66466996096,17.4599440543
 01/05  06:00:00,1055.84879269,97.1042606392,558.856818785,0.0,100.150657288,149.894399434,770.49528142,738.873689607,14.1616749024,17.459916911
 01/05  07:00:00,1281.31045487,98.1878984444,564.019553033,0.0,176.471037341,302.612436532,551.896687257,506.113476276,28.3233498048,17.4598611765
 01/05  08:00:00,1392.03902062,99.6487905188,566.824445274,0.0,243.2593065,310.10971186,529.946524272,460.968565692,42.4850247072,26.4929338732
 01/05  09:00:00,1427.30045056,100.31546315,570.324574446,0.0,243.2593065,310.10971186,534.125936028,441.945526312,56.6466996096,35.5337101073
 01/05  10:00:00,1463.78452209,100.790287653,574.170041121,0.0,243.2593065,302.612436532,520.590081808,433.463846247,42.4850247072,44.6412108535
 01/05  11:00:00,1475.46865145,101.207198385,577.953608093,0.0,243.2593065,310.10971186,533.252193937,417.488025272,70.808374512,44.955794153
 01/05  12:00:00,1486.71390428,101.57045091,586.116267709,0.0,243.2593065,310.10971186,533.610620787,408.716171942,70.808374512,54.0860743331
 01/05  13:00:00,1455.73509005,101.866753511,595.388160295,0.0,243.2593065,310.10971186,520.146672009,404.570003919,70.808374512,44.7682935777
 01/05  14:00:00,1491.52855325,102.166925693,597.224704091,0.0,243.2593065,302.612436532,500.518518504,398.803384717,56.6466996096,45.0684341779
 01/05  15:00:00,1495.22935625,102.444590149,598.41558331,0.0,243.2593065,302.612436532,490.981061501,394.546752068,42.4850247072,53.9492847258
 01/05  16:00:00,1500.80265871,102.699314433,603.704166955,0.0,243.2593065,302.612436532,491.727363396,390.228815111,56.6466996096,44.8518486755
 01/05  17:00:00,1513.83233094,102.926105548,603.356282524,0.0,243.2593065,310.10971186,509.028483089,388.420306023,84.9700494144,35.6381276507
 01/05  18:00:00,1519.20825111,103.127741173,601.222303871,0.0,243.2593065,310.10971186,500.46679922,389.109731923,84.9700494144,26.3870178829
 01/05  19:00:00,1244.0099787,96.6897618788,599.310932986,0.0,166.938926447,199.110933808,488.127270025,385.63343132,84.9700494144,17.523789291
 01/05  20:00:00,1233.53169411,96.6897618788,596.529105331,0.0,166.938926447,191.61365848,473.283265142,390.36142827,56.6466996096,26.2751372626
 01/05  21:00:00,1097.13179473,96.6897618788,594.673226499,0.0,100.150657288,124.558693486,504.778649546,430.608322046,56.6466996096,17.5236278904
 01/05  22:00:00,1055.75438561,96.6897618788,593.107083545,0.0,100.150657288,124.558693486,496.618909721,436.664557959,42.4850247072,17.4693270547
 01/05  23:00:00,987.668320124,96.6897618788,592.618180634,0.0,46.0930336215,124.558693486,500.73291329,454.946903169,28.3233498048,17.4626603163
 01/05  24:00:00,935.342462532,96.6897618788,540.984649194,0.0,46.0930336215,124.558693486,493.352825849,461.7285414,14.1616749024,17.4626095466
 01/06  01:00:00,893.736748133,96.6897618788,512.556633916,0.0,46.0930336215,113.312780494,489.05819234,465.928814935,5.66466996096,17.4647074437
 01/06  02:00:00,898.802556552,96.6897618788,517.806803967,0.0,46.0930336215,113.312780494,492.564998473,469.437400688,5.66466996096,17.4629278243
 01/06  03:00:00,891.30479979,96.6897618788,510.528766581,0.0,46.0930336215,113.312780494,496.215320785,473.087679964,5.66466996096,17.4629708604
 01/06  04:00:00,913.248104498,96.6897618788,532.397110119,0.0,46.0930336215,113.312780494,499.80374171,476.67610132,5.66466996096,17.4629704289
 01/06  05:00:00,993.271170432,96.6897618788,519.605606247,0.0,100.150657288,148.969399434,480.877601964,457.749972388,5.66466996096,17.4629596145
 01/06  06:00:00,1014.18291205,97.1737327972,539.12382381,0.0,100.150657288,149.894399434,765.06701744,733.440592945,14.1616749024,17.4647495923
 01/06  07:00:00,1288.35767643,98.6311940529,583.05557636,0.0,176.471037341,302.612436532,550.702614628,504.91444543,28.3233498048,17.4648193929
 01/06  08:00:00,1404.42185679,100.298385984,586.506112677,0.0,243.2593065,310.10971186,537.903201622,460.105684791,42.4850247072,35.3124921236
 01/06  09:00:00,1392.32577872,100.945222806,537.132988133,0.0,243.2593065,310.10971186,532.336803037,440.16318977,56.6466996096,35.5269136575
 01/06  10:00:00,1421.03622397,101.552830074,532.195843854,0.0,243.2593065,302.612436532,499.897605251,421.705265379,42.4850247072,35.7073151651
 01/06  11:00:00,1482.64289189,101.848683163,584.567228424,0.0,243.2593065,310.10971186,533.897045397,409.13116018,70.808374512,53.957510704
 01/06  12:00:00,1490.82654266,102.139602212,590.191360527,0.0,243.2593065,310.10971186,519.279912226,403.397277231,70.808374512,45.0742604829
 01/06  13:00:00,1449.80540114,102.420006973,591.282006033,0.0,243.2593065,310.10971186,515.739047244,400.160331947,70.808374512,44.7703407845
 01/06  14:00:00,1483.16776176,102.690036017,591.020575658,0.0,243.2593065,302.612436532,506.485849216,395.750105575,56.6466996096,54.0890440312
 01/06  15:00:00,1484.48725847,102.928352886,591.689858944,0.0,243.2593065,302.612436532,480.162678583,392.715376768,42.4850247072,44.9622771075
 01/06  16:00:00,1485.31669267,103.145952386,592.219098873,0.0,243.2593065,302.612436532,491.967250949,390.46599762,56.6466996096,44.8545537194
 01/06  17:00:00,1500.06615659,103.344392328,592.381521104,0.0,243.2593065,310.10971186,519.07812121,389.556776645,84.9700494144,44.5512951503
 01/06  18:00:00,1508.01944477,103.535283016,592.424808305,0.0,243.2593065,310.10971186,500.170644174,388.812789317,84.9700494144,26.3878054423
 01/06  19:00:00,1235.33467615,96.6897618788,592.436331096,0.0,166.938926447,199.110933808,487.350086251,384.856486999,84.9700494144,17.5235498375
 01/06  20:00:00,1227.78642649,96.6897618788,592.439410529,0.0,166.938926447,191.61365848,472.151577112,389.229537231,56.6466996096,26.275340271
 01/06  21:00:00,1093.94367461,96.6897618788,592.440220569,0.0,100.150657288,124.558693486,503.617958486,429.446116926,56.6466996096,17.5251419498
 01/06  22:00:00,1054.61271378,96.6897618788,592.440436261,0.0,100.150657288,124.558693486,495.715776497,435.760380466,42.4850247072,17.4703713243
 01/06  23:00:00,946.402654733,96.6897618788,552.806567101,0.0,46.0930336215,124.558693486,501.099049026,455.31573911,28.3233498048,17.4599601112
 01/06  24:00:00,841.426352136,96.6897618788,448.375773224,0.0,46.0930336215,124.558693486,495.709225344,464.087604573,14.1616749024,17.4599458681
 01/07  01:00:00,809.455138187,96.6897618788,429.264284873,0.0,46.0930336215,113.312780494,492.853556594,469.726797204,5.66466996096,17.462089429
 01/07  02:00:00,800.028131103,96.6897618788,420.051425951,0.0,46.0930336215,113.312780494,498.420814006,475.295765698,5.66466996096,17.4603783473
 01/07  03:00:00,786.341048185,96.6897618788,405.533864598,0.0,46.0930336215,113.312780494,504.409834996,481.284713985,5.66466996096,17.4604510505
 01/07  04:00:00,776.47765233,96.6897618788,392.005119055,0.0,46.0930336215,113.312780494,509.225086444,486.099919753,5.66466996096,17.4604967303
 01/07  05:00:00,771.78864088,96.6897618788,372.617294614,0.0,55.6251445156,113.312780494,504.111680883,480.986474957,5.66466996096,17.4605359648
 01/07  06:00:00,762.691280314,96.6897618788,358.435301033,0.0,55.6251445156,113.312780494,516.408799833,484.786551314,14.1616749024,17.4605736169
 01/07  07:00:00,829.940271621,96.6897618788,354.371464468,0.0,65.1572554096,176.889270242,472.576654425,426.792693784,28.3233498048,17.460610836
 01/07  08:00:00,945.257970753,96.9951716589,353.150151895,0.0,109.682768182,220.96816451,779.813839553,719.864853909,42.4850247072,17.4639609371
 01/07  09:00:00,943.20942557,96.995839548,341.649194354,0.0,109.682768182,220.96816451,664.61709119,581.618733365,56.6466996096,26.3516582155
 01/07  10:00:00,1053.10178982,97.3855028003,343.88525337,0.0,131.945524568,266.955817592,614.399957317,545.410646144,42.4850247072,26.5042864659
 01/07  11:00:00,1067.60662251,97.4201012093,350.792712737,0.0,131.945524568,274.45309292,637.710696071,531.362173394,70.808374512,35.5401481659
 01/07  12:00:00,1062.60581634,97.4825950176,351.125075954,0.0,131.945524568,274.45309292,631.955105312,525.604522976,70.808374512,35.5422078234
 01/07  13:00:00,1033.70227377,97.5377745343,351.759688205,0.0,131.945524568,274.45309292,628.181730125,521.839883292,70.808374512,35.5334723213
 01/07  14:00:00,1030.58291868,97.5824625462,352.003841992,0.0,131.945524568,266.955817592,614.976814494,522.796022529,56.6466996096,35.5340923562
 01/07  15:00:00,1019.24855889,97.6142452087,340.984393775,0.0,131.945524568,266.955817592,601.790861226,523.772827314,42.4850247072,35.5330092048
 01/07  16:00:00,938.031882486,96.6897618788,332.847271567,0.0,109.682768182,212.545889182,477.533641818,385.353389293,56.6466996096,35.5335529151
 01/07  17:00:00,957.882046117,96.6897618788,331.779572907,0.0,109.682768182,220.04316451,514.654566214,394.150454698,84.9700494144,35.5340621019
 01/07  18:00:00,922.620183091,96.6897618788,331.152990432,0.0,109.682768182,220.04316451,521.124792113,400.847872926,84.9700494144,35.3068697725
 01/07  19:00:00,885.795720313,96.6897618788,330.909736964,0.0,100.150657288,199.110933808,539.690004242,437.256617898,84.9700494144,17.4633369305
 01/07  20:00:00,877.63847978,96.6897618788,328.618247706,0.0,100.150657288,191.61365848,517.14075953,443.030708914,56.6466996096,17.4633510064
 01/07  21:00:00,761.180319255,96.6897618788,322.612348047,0.0,55.6251445156,124.558693486,565.604893422,491.494794304,56.6466996096,17.4633995085
 01/07  22:00:00,757.29700952,96.6897618788,318.100968441,0.0,55.6251445156,124.558693486,560.189842764,500.24140517,42.4850247072,17.4634128864
 01/07  23:00:00,746.678029966,96.6897618788,314.57836532,0.0,46.0930336215,124.558693486,564.187802811,518.401013165,28.3233498048,17.463439841
 01/07  24:00:00,736.706482618,96.6897618788,302.453396949,0.0,46.0930336215,124.558693486,557.893769034,526.26862414,14.1616749024,17.4634699919
 01/08  01:00:00,701.577504996,96.6897618788,293.628361706,0.0,34.9616554283,113.312780494,556.36518081,533.236680841,5.66466996096,17.463830008
 01/08  02:00:00,695.756556785,96.6897618788,287.758481175,0.0,34.9616554283,113.312780494,563.921094597,540.792422995,5.66466996096,17.4640016411
 01/08  03:00:00,690.19247103,96.6897618788,281.297792965,0.0,34.9616554283,113.312780494,576.086062701,552.95729286,5.66466996096,17.46409988
 01/08  04:00:00,689.051264446,96.6897618788,280.376217556,0.0,34.9616554283,113.312780494,582.434667816,559.305817396,5.66466996096,17.4641804591
 01/08  05:00:00,692.111993204,96.6897618788,274.119438134,0.0,44.4937663224,113.312780494,584.113673331,560.984746673,5.66466996096,17.4642566969
 01/08  06:00:00,691.876622119,96.6897618788,273.310837667,0.0,44.4937663224,113.312780494,597.294362206,565.668355526,14.1616749024,17.4643317777
 01/08  07:00:00,762.306590768,96.6897618788,273.264600277,0.0,54.0258772165,176.889270242,549.118286675,503.330530407,28.3233498048,17.4644064634
 01/08  08:00:00,755.784769819,96.6897618788,270.766722476,0.0,54.0258772165,184.38654557,561.276562024,501.32705638,42.4850247072,17.4644809363
 01/08  09:00:00,831.154702053,96.6897618788,270.89443818,0.0,65.1572554096,220.04316451,561.070866234,486.863098132,56.6466996096,17.5610684921
 01/08  10:00:00,824.028101605,96.6897618788,271.406447793,0.0,65.1572554096,212.545889182,563.116986812,485.337709344,42.4850247072,35.294252761
 01/08  11:00:00,831.432450175,96.6897618788,271.435699554,0.0,65.1572554096,220.04316451,590.012462886,483.725777353,70.808374512,35.4783110215
 01/08  12:00:00,834.090703128,96.6897618788,272.440776144,0.0,65.1572554096,220.04316451,588.257000339,481.973007521,70.808374512,35.4756183061
 01/08  13:00:00,832.413193435,96.6897618788,272.145250666,0.0,65.1572554096,220.04316451,577.713077478,480.282712,70.808374512,26.6219909663
 01/08  14:00:00,824.066010684,96.6897618788,271.527711237,0.0,65.1572554096,212.545889182,572.562976907,480.416859207,56.6466996096,35.4994180908
 01/08  15:00:00,824.673071932,96.6897618788,272.398665625,0.0,65.1572554096,212.545889182,560.872426653,482.890699571,42.4850247072,35.4967023748
 01/08  16:00:00,824.40257116,96.6897618788,272.025482121,0.0,65.1572554096,212.545889182,577.267474327,485.12671608,56.6466996096,35.4940586378
 01/08  17:00:00,807.039117157,96.6897618788,271.535734053,0.0,65.1572554096,220.04316451,605.717721715,485.256244999,84.9700494144,35.4914273018
 01/08  18:00:00,767.751095194,96.6897618788,271.486054737,0.0,54.0258772165,184.38654557,615.343124275,503.902560717,84.9700494144,26.4705141439
 01/08  19:00:00,739.300067254,96.6897618788,271.338751391,0.0,44.4937663224,163.454314868,643.230149071,540.79448447,84.9700494144,17.4656151869
 01/08  20:00:00,732.156491048,96.6897618788,271.2272547,0.0,44.4937663224,155.95703954,621.732717885,547.62024419,56.6466996096,17.4657740856
 01/08  21:00:00,705.889221263,96.6897618788,271.719075783,0.0,44.4937663224,124.558693486,658.015579244,583.903012984,56.6466996096,17.4658666497
 01/08  22:00:00,702.179076414,96.6897618788,262.431648916,0.0,44.4937663224,124.558693486,661.814834111,601.863866291,42.4850247072,17.4659431129
