Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,37.7945035883,5.43425617266,0.583956599502,1.2097462406,12.925468867,10.100111941,38.3856831605,38.3656831605,0.0,0.02
 01/01  02:00:00,38.8470251571,5.44022836233,0.275177412997,2.56631389404,12.925468867,10.100111941,51.7193643199,45.9576525758,0.0,5.76171174409
 01/01  03:00:00,34.7418063222,5.44165783503,0.0930000976591,3.26087875672,8.34152022915,10.0650221343,50.7984313786,45.0367814037,0.0,5.76164997484
 01/01  04:00:00,35.7042679291,5.47487677919,0.048138526848,4.23498377805,8.34152022915,10.0650221343,49.895671749,44.1340928027,0.0,5.76157894629
 01/01  05:00:00,38.2082887241,5.50922203537,0.0397351844203,5.10632577724,8.34152022915,11.6705166398,48.8982495024,43.1301723668,0.0,5.76807713561
 01/01  06:00:00,42.6516404596,5.52098590033,0.0365337739428,5.38268442616,8.80141237637,15.3678112995,45.432162198,39.6565095167,0.0,5.77565268123
 01/01  07:00:00,61.533612442,5.48675785121,0.135798960702,4.22277700466,18.5082010057,25.6353820695,42.8097663275,37.0207374428,0.0,5.78902888473
 01/01  08:00:00,71.1718500967,5.53767825892,1.20818511426,1.93431338271,19.4926561212,41.1001056674,51.1357129702,33.7003242077,0.0,17.4353887625
 01/01  09:00:00,94.407686641,5.74965779372,3.51294395271,0.779567006903,26.3286599382,57.9988325916,67.809091554,26.2090706356,0.0,41.6000209184
 01/01  10:00:00,80.021687431,5.61464916851,4.47670060982,0.83884584739,26.2443270014,42.8153538416,69.7151262834,22.1584076897,18.025,29.5317185938
 01/01  11:00:00,55.5510198494,5.46918941675,3.45768531855,1.40763268183,21.7447113004,23.4437158914,67.5489149686,20.0993627962,18.025,29.4245521724
 01/01  12:00:00,53.3852258449,5.49470940838,3.63628295072,1.44000151999,19.3449162599,23.4437158914,66.5033000715,19.1309039256,18.025,29.3473961459
 01/01  13:00:00,53.6265228501,5.56007298862,4.00056851596,1.10972971279,19.190480192,23.7425572507,59.5857365309,18.1454528281,18.025,23.4152837028
 01/01  14:00:00,53.4103112386,5.56664124649,4.10212381409,0.75927306094,19.260583323,23.698576057,55.5562803802,14.1170021028,18.025,23.4142782774
 01/01  15:00:00,53.0943798451,5.55306971222,4.11539114011,0.443645608124,19.260583323,23.698576057,53.5511325781,12.1101674453,18.025,23.4159651328
 01/01  16:00:00,52.5058159534,5.52377238569,3.95949084798,0.330228952722,19.260583323,23.4086260847,54.4615851242,13.0189304523,18.025,23.4176546719
 01/01  17:00:00,59.521486793,5.46850696398,2.84425716829,0.297059276637,19.260583323,27.8781056672,37.5092921567,13.7155565552,18.025,5.76873560156
 01/01  18:00:00,70.4458973089,5.50952184565,1.43177257609,0.202342009318,18.1807569449,37.5792895564,21.3053074065,15.5296808559,0.0,5.77562655056
 01/01  19:00:00,85.3535141851,5.63656086244,2.46585516899,0.0551351345582,32.6059821062,37.0465235296,25.1159244388,19.3330658205,0.0,5.78285861823
 01/01  20:00:00,86.3199725181,5.7290461814,3.14553633963,0.0180929506886,36.8143715336,33.066984531,31.6123338546,20.0382066613,0.0,11.5741271933
 01/01  21:00:00,92.5570933708,5.84265206182,3.88483673909,0.0428065154663,36.43363367,38.8072253906,33.9280303225,22.3556180397,0.0,11.5724122828
 01/01  22:00:00,90.1719956385,5.84788903486,3.83293410551,0.0610825392636,36.0963922311,36.7877557581,35.0381298033,23.4639802922,0.0,11.5741495111
 01/01  23:00:00,67.176699261,5.64304985458,2.35638238019,0.0668003312847,30.9507766546,20.6087787026,41.5686278157,24.1313239874,0.0,17.4373038284
 01/01  24:00:00,43.5513776649,5.48273881242,1.14393739304,0.249314816067,17.4250845679,11.7056064465,31.372945666,25.5827824343,0.0,5.7901632317
 01/02  01:00:00,36.0079042286,5.44762207975,0.850750644494,0.462297487417,11.6412384099,10.0650221343,31.7599109195,25.9909328924,0.0,5.7689780271
 01/02  02:00:00,34.4261712452,5.42696754141,0.655644819538,0.657150417264,10.0992000411,10.047477231,31.6706463946,25.9086730552,0.0,5.76197333941
 01/02  03:00:00,32.6098041116,5.41345492596,0.505811152796,0.863687644046,8.25718729233,10.0299323277,31.6393437908,25.8774207162,0.0,5.76192307457
 01/02  04:00:00,32.7404768653,5.41126128057,0.433841563317,1.06852599615,8.25718729233,10.0299323277,25.2192454663,25.1992454663,0.0,0.02
 01/02  05:00:00,34.4403714558,5.40866013216,0.374272023588,1.22385179183,8.25718729233,11.6354268332,30.9289226297,25.159934473,0.0,5.76898815663
 01/02  06:00:00,41.9132398872,5.41211471269,0.45935710555,1.02812152191,12.1011305571,15.3678112995,34.9718980395,23.4114568359,0.0,11.5604412035
 01/02  07:00:00,72.7025358954,5.6303133792,2.31813699247,0.211505420168,19.7275818095,37.2640762949,39.249542136,21.8119740948,0.0,17.4375680412
 01/02  08:00:00,87.1134303155,5.81991116756,3.73035126545,0.0679485531146,24.3117294858,51.2795993405,36.9773289014,19.4535345225,0.0,17.5237943789
 01/02  09:00:00,72.9153149905,5.57812278569,2.84715303435,0.154549673407,23.6694662846,40.6342015617,48.9241116566,13.4839427723,0.0,35.4401688843
 01/02  10:00:00,69.5817298798,5.52821685911,4.57044705975,0.155291238686,23.6694662846,35.6302164847,58.97660937,11.5331527923,18.025,29.4184565777
 01/02  11:00:00,51.3270901326,5.41709410675,3.85262878105,0.326546082762,18.7433767983,22.9618409725,52.2503139432,10.7400189181,18.025,23.4852950251
 01/02  12:00:00,51.2093827575,5.40897035975,3.72682375995,0.345253106566,18.7433767983,22.9618409725,51.9289815248,10.4781636499,18.025,23.4258178749
 01/02  13:00:00,51.2162321233,5.40924184511,3.73580445676,0.299399669387,18.5889407304,23.1597249699,49.7287665872,8.27641555735,18.025,23.4273510298
 01/02  14:00:00,51.3056050749,5.41453498814,3.64192886706,0.230855203905,18.7433767983,23.2517909448,54.1095487166,6.81493389803,18.025,29.2696148186
 01/02  15:00:00,51.3198378115,5.42103691867,3.70975299491,0.17076387866,18.7433767983,23.2517909448,47.912370637,6.47618682762,18.025,23.4111838094
 01/02  16:00:00,51.0226162144,5.42826754961,3.7290633753,0.136951222731,18.7433767983,22.9618409725,49.8585665064,8.42053557321,18.025,23.4130309332
 01/02  17:00:00,58.4455288827,5.42652300438,2.96263010945,0.108704654411,18.7433767983,27.431320555,32.8489216646,9.05530982164,18.025,5.76861184299
 01/02  18:00:00,73.7519729305,5.55368603324,2.29376822834,0.0003590211736,17.6635504202,40.6971502883,14.4932401072,8.71029311752,0.0,5.78294698966
 01/02  19:00:00,81.105269171,5.64543627259,3.05024703971,0.0,27.5259009287,37.3340067412,28.23191447,10.8176371849,0.0,17.4142772852
 01/02  20:00:00,84.0901409106,5.723465641,3.63214973017,0.0,33.8341110165,33.3544677425,16.6792198434,10.8819603923,0.0,5.79725945112
 01/02  21:00:00,93.3737435383,5.8772992572,4.60776199712,0.0,36.5179666069,38.8247702939,23.5817217521,12.0084391721,0.0,11.5732825801
 01/02  22:00:00,88.2255503167,5.94015006597,4.91120368723,0.0,32.965339924,36.8579353714,29.8572536288,12.422032873,0.0,17.4352207558
 01/02  23:00:00,62.5609515394,5.68949302294,3.0448295236,0.0,25.6355707503,20.6438685092,24.4955581702,12.9068620711,0.0,11.5886960991
 01/02  24:00:00,41.4670091482,5.52665216937,1.66724506848,0.0,15.0252895274,11.7056064465,19.8655022362,14.0893701426,0.0,5.77613209355
 01/03  01:00:00,35.9921158373,5.48475211823,1.260126401,0.0,11.6412384099,10.0650221343,19.9909531957,14.2219074299,0.0,5.7690457658
 01/03  02:00:00,34.2428947348,5.46166640968,1.09481738511,0.0,10.0992000411,10.047477231,19.7297436727,13.9679851748,0.0,5.76175849792
 01/03  03:00:00,32.2119735998,5.44027064909,0.944851533438,0.0,8.25718729233,10.0299323277,19.5792368964,13.8175195827,0.0,5.76171731371
 01/03  04:00:00,32.1534599757,5.43269148782,0.893917473751,0.0,8.25718729233,10.0299323277,13.1589323785,13.1389323785,0.0,0.02
 01/03  05:00:00,33.7120973732,5.42641102851,0.852095606461,0.0,8.25718729233,11.6354268332,18.8067885553,13.0378020207,0.0,5.76898653458
 01/03  06:00:00,41.480187708,5.44871947748,1.01781580318,0.0,12.1011305571,15.3678112995,22.9702982561,11.41005787,0.0,11.5602403861
 01/03  07:00:00,73.1682807878,5.71246384837,2.91322854508,0.0,19.7275818095,37.2640762949,26.7438571746,10.0487099573,0.0,16.6951472173
 01/03  08:00:00,88.0487684035,5.92620938139,4.6273257765,0.0,24.3117294858,51.2795993405,26.7501967955,8.47918631388,0.0,18.2710104816
 01/03  09:00:00,73.8392573846,5.62453854196,3.87922142004,0.0,23.6694662846,40.6342015617,39.9880143865,4.54591043934,0.0,35.4421039471
 01/03  10:00:00,70.5786968707,5.60396798084,5.6469471101,0.0,23.6694662846,35.6302164847,50.6569741562,3.20660805863,18.025,29.4253660975
 01/03  11:00:00,52.4351186827,5.51502721698,5.1892658025,0.0,18.7433767983,22.9618409725,44.3463847803,2.83405673371,18.025,23.4873280466
 01/03  12:00:00,52.2128013181,5.49314959437,4.99131323513,0.0,18.7433767983,22.9618409725,43.7681670731,2.3171941323,18.025,23.4259729408
 01/03  13:00:00,52.2080643363,5.49436191867,4.94191448843,0.0,18.5889407304,23.1597249699,44.6372205385,3.1858131261,18.025,23.4264074124
 01/03  14:00:00,52.5616564654,5.51770438339,5.02566167259,0.0,18.7433767983,23.2517909448,42.0464497372,0.593180747336,18.025,23.4282689899
 01/03  15:00:00,52.765833046,5.54398755726,5.20355659725,0.0,18.7433767983,23.2517909448,47.9895798118,0.696081138712,18.025,29.2684986731
 01/03  16:00:00,52.5428986934,5.55197601007,5.26258578512,0.0,18.7433767983,22.9618409725,43.5549163277,2.11754572266,18.025,23.4123706051
 01/03  17:00:00,59.9564882669,5.54069001938,4.46812647365,0.0,18.7433767983,27.431320555,26.0567169042,2.26301538909,18.025,5.7687015151
 01/03  18:00:00,75.2389254223,5.67763045682,3.65713171529,0.0,17.6635504202,40.6971502883,8.4886532251,2.70547885749,0.0,5.78317436761
 01/03  19:00:00,82.5801715457,5.80120838846,4.36937039473,0.0,27.5259009287,37.3340067412,17.5501980826,5.93265344931,0.0,11.6175446333
 01/03  20:00:00,85.9736220846,5.93471922482,5.30437102745,0.0,33.8341110165,33.3544677425,18.124446779,6.54981158059,0.0,11.5746351984
 01/03  21:00:00,95.7464596847,6.15671300027,6.70105751224,0.0,36.5179666069,38.8247702939,19.3128527182,7.73985110375,0.0,11.5730016144
 01/03  22:00:00,90.7616513552,6.23848442679,7.14895986681,0.0,32.965339924,36.8579353714,25.2202433055,7.78457525263,0.0,17.4356680529
 01/03  23:00:00,64.4558909738,5.89825095584,4.73100460497,0.0,25.6355707503,20.6438685092,20.1971687283,8.6086295095,0.0,11.5885392188
 01/03  24:00:00,42.5230460546,5.63234996576,2.61758035207,0.0,15.0252895274,11.7056064465,17.0414871106,11.265475316,0.0,5.77601179457
 01/04  01:00:00,36.7179331951,5.5694849427,1.90120794188,0.0,11.6412384099,10.0650221343,18.8049092852,13.0359905874,0.0,5.76891869783
 01/04  02:00:00,34.8027853996,5.53216477993,1.58420741463,0.0,10.0992000411,10.047477231,20.2257092219,14.4636638213,0.0,5.76204540062
 01/04  03:00:00,32.6491539777,5.49708179219,1.3252188293,0.0,8.25718729233,10.0299323277,15.9985877407,15.9785877407,0.0,0.02
 01/04  04:00:00,32.470874326,5.4763298169,1.16769087635,0.0,8.25718729233,10.0299323277,22.7309655739,16.9689532988,0.0,5.7620122751
 01/04  05:00:00,33.920419646,5.45714681575,1.02967912317,0.0,8.25718729233,11.6354268332,24.3392471623,18.5703626632,0.0,5.7688844991
 01/04  06:00:00,41.5787752577,5.46619810897,1.09891903486,0.0,12.1011305571,15.3678112995,30.2734913684,18.7130670364,0.0,11.560424332
 01/04  07:00:00,73.2004455233,5.73228517256,2.92556325574,0.0,19.7275818095,37.2640762949,29.5994215634,17.9671099485,0.0,11.6323116149
 01/04  08:00:00,87.8332732989,5.93707905905,4.40094799674,0.0,24.3117294858,51.2795993405,39.4276581171,16.0667178648,0.0,23.3609402523
 01/04  09:00:00,73.4355839589,5.639864527,3.46021357734,0.0,23.6694662846,40.6342015617,47.1924099182,11.7470704136,0.0,35.4453395047
 01/04  10:00:00,69.9763341814,5.59992094002,5.04862528702,0.0,23.6694662846,35.6302164847,58.9002777271,11.448179295,18.025,29.427098432
 01/04  11:00:00,51.426048107,5.46601425503,4.22920355201,0.0,18.7433767983,22.9618409725,54.2699961041,12.756723332,18.025,23.4882727721
 01/04  12:00:00,51.3851975975,5.46304815383,4.19380789085,0.0,18.7433767983,22.9618409725,52.709955969,11.2580490413,18.025,23.4269069277
 01/04  13:00:00,51.8099783265,5.48100903988,4.55717811011,0.0,18.5889407304,23.1597249699,47.4874596416,6.03501557758,18.025,23.427444064
 01/04  14:00:00,52.212478469,5.49341656348,4.70076826916,0.0,18.7433767983,23.2517909448,46.012528379,1.72381714403,18.025,26.2637112349
 01/04  15:00:00,52.2256779963,5.49285884038,4.71452805703,0.0,18.7433767983,23.2517909448,45.9141435164,1.45778799432,18.025,26.4313555221
 01/04  16:00:00,51.9067487595,5.49464357971,4.68376528074,0.0,18.7433767983,22.9618409725,44.7765458334,3.33774754336,18.025,23.4137982901
 01/04  17:00:00,59.644846409,5.51698271923,4.18018762677,0.0,18.7433767983,27.431320555,26.655342317,2.86141134687,18.025,5.76893097015
 01/04  18:00:00,75.2505671227,5.67180105068,3.67459773019,0.0,17.6635504202,40.6971502883,8.26654823268,2.48334221205,0.0,5.78320602064
 01/04  19:00:00,82.5368843353,5.78199274081,4.3452891649,0.0,27.5259009287,37.3340067412,22.5447747509,5.12928851081,0.0,17.4154862401
 01/04  20:00:00,86.0367439244,5.92461641455,5.37758956278,0.0,33.8341110165,33.3544677425,11.322541447,5.52512407898,0.0,5.79741736797
 01/04  21:00:00,96.0664164972,6.17367071444,7.00405087426,0.0,36.5179666069,38.8247702939,18.0992347268,6.52558201735,0.0,11.5736527095
 01/04  22:00:00,91.1840292395,6.26553061125,7.54428331765,0.0,32.965339924,36.8579353714,24.1234745197,6.6865961435,0.0,17.4368783762
 01/04  23:00:00,64.9404125181,5.9341453334,5.17962400746,0.0,25.6355707503,20.6438685092,18.4537061879,6.86438747312,0.0,11.5893187148
 01/04  24:00:00,43.0219341443,5.66838932126,3.08042506159,0.0,15.0252895274,11.7056064465,14.1990006868,8.42291981819,0.0,5.77608086856
 01/05  01:00:00,37.2717653614,5.61139807454,2.41312381998,0.0,11.6412384099,10.0650221343,14.882582216,9.11388058393,0.0,5.76870163207
 01/05  02:00:00,35.2801737815,5.57994751985,2.01381075489,0.0,10.0992000411,10.047477231,15.2001013161,9.43814641981,0.0,5.76195489632
 01/05  03:00:00,33.1468412233,5.54991726372,1.77006767499,0.0,8.25718729233,10.0299323277,15.6147796423,9.85284890026,0.0,5.76193074208
 01/05  04:00:00,33.0383569066,5.53658171268,1.67491980672,0.0,8.25718729233,10.0299323277,9.81989071194,9.79989071194,0.0,0.02
 01/05  05:00:00,34.5563283211,5.52581250249,1.59691871694,0.0,8.25718729233,11.6354268332,15.9994364267,10.2314213173,0.0,5.76801510944
 01/05  06:00:00,42.3473082198,5.55094457927,1.78270069308,0.0,12.1011305571,15.3678112995,20.9912762817,9.43158902572,0.0,11.559687256
 01/05  07:00:00,74.6342272115,5.88118902237,4.21043073974,0.0,19.7275818095,37.2640762949,25.7868417288,8.34771611868,0.0,17.4391256102
 01/05  08:00:00,90.6422759254,6.22227066561,6.92474766286,0.0,24.3117294858,51.2795993405,24.6288357476,7.10225863878,0.0,17.5265771088
 01/05  09:00:00,75.5708615053,5.79265063453,5.44269634823,0.0,23.6694662846,40.6342015617,38.5627311367,3.11844312611,0.0,35.4442880106
 01/05  10:00:00,72.2418705458,5.73950884731,7.17456812752,0.0,23.6694662846,35.6302164847,50.0953532525,2.64868480013,18.025,29.4216684524
 01/05  11:00:00,53.4527072209,5.58846515663,6.13340717411,0.0,18.7433767983,22.9618409725,45.4283105605,3.91466070004,18.025,23.4886498604
 01/05  12:00:00,53.3507067654,5.57679031818,6.04557163705,0.0,18.7433767983,22.9618409725,45.3316092626,3.87789738339,18.025,23.4287118792
 01/05  13:00:00,53.422719601,5.57243706281,6.07848704995,0.0,18.5889407304,23.1597249699,51.8714379739,4.56485923635,18.025,29.2815787376
 01/05  14:00:00,53.4496846251,5.57334541193,5.85804553139,0.0,18.7433767983,23.2517909448,43.6935004917,2.252947397,18.025,23.4155530947
 01/05  15:00:00,53.6068978373,5.57781490045,6.01078989857,0.0,18.7433767983,23.2517909448,42.9780395949,1.53783832706,18.025,23.4152012679
 01/05  16:00:00,53.536669254,5.59047758756,6.21784823685,0.0,18.7433767983,22.9618409725,43.8891636069,2.44675524595,18.025,23.4174083609
 01/05  17:00:00,61.0091743327,5.60887663311,5.45261491371,0.0,18.7433767983,27.431320555,26.7738770356,2.97987803078,18.025,5.76899900485
 01/05  18:00:00,76.5732451488,5.79602328302,4.87304699596,0.0,17.6635504202,40.6971502883,9.22704488051,3.44375257562,0.0,5.78329230488
 01/05  19:00:00,84.3887075812,5.97302974744,6.00606451718,0.0,27.5259009287,37.3340067412,24.1237731429,6.70622740192,0.0,17.4175457409
 01/05  20:00:00,87.9767164004,6.12489339017,7.1172795716,0.0,33.8341110165,33.3544677425,19.1169579497,7.54519079883,0.0,11.5717671509
 01/05  21:00:00,98.0659530479,6.38021678179,8.79703372993,0.0,36.5179666069,38.8247702939,14.7658501135,8.96834757506,0.0,5.79750253847
 01/05  22:00:00,93.0357673165,6.46015632767,9.20138896941,0.0,32.965339924,36.8579353714,26.7408428752,9.30206191878,0.0,17.4387809565
 01/05  23:00:00,66.1033568585,6.05810929041,6.21859710351,0.0,25.6355707503,20.6438685092,21.3608589548,9.77129024422,0.0,11.5895687106
 01/05  24:00:00,43.5704573611,5.73272050259,3.56461274479,0.0,15.0252895274,11.7056064465,17.2234980232,11.4473578857,0.0,5.77614013747
 01/06  01:00:00,37.6055717289,5.65776597232,2.70055958061,0.0,11.6412384099,10.0650221343,17.9722834127,12.2030132193,0.0,5.76927019334
 01/06  02:00:00,35.6344137052,5.61989912206,2.32809723591,0.0,10.0992000411,10.047477231,18.3917169511,12.629736959,0.0,5.76197999213
 01/06  03:00:00,33.4727988091,5.58425794459,2.06168096509,0.0,8.25718729233,10.0299323277,18.9069332936,13.1449687619,0.0,5.76196453174
 01/06  04:00:00,33.3277064871,5.56691088884,1.93393789824,0.0,8.25718729233,10.0299323277,13.1572473416,13.1372473416,0.0,0.02
 01/06  05:00:00,34.8018479471,5.55149198225,1.81675635779,0.0,8.25718729233,11.6354268332,19.3820154814,13.6127885676,0.0,5.76922691371
 01/06  06:00:00,42.5726952069,5.57413510043,1.98489294464,0.0,12.1011305571,15.3678112995,24.1673693152,12.6062855349,0.0,11.5610837803
 01/06  07:00:00,75.0754854583,5.92936374191,4.6035044353,0.0,19.7275818095,37.2640762949,27.9261973532,10.4875497116,0.0,17.4386476416
 01/06  08:00:00,91.2969217605,6.29007765316,7.51157542773,0.0,24.3117294858,51.2795993405,26.4338982574,8.90726806094,0.0,17.5266301964
 01/06  09:00:00,75.8600927594,5.81748432779,5.70708486383,0.0,23.6694662846,40.6342015617,40.9284734891,5.48223276333,0.0,35.4462407258
 01/06  10:00:00,73.0371288425,5.82420342025,7.88512850131,0.0,23.6694662846,35.6302164847,52.2869467612,4.83450894151,18.025,29.4274378197
 01/06  11:00:00,53.8293443069,5.62629940225,6.47220388528,0.0,18.7433767983,22.9618409725,52.8917898015,5.51052430185,18.025,29.3562654997
 01/06  12:00:00,53.5532251408,5.60272721796,6.22215030147,0.0,18.7433767983,22.9618409725,46.8094334328,5.3581660133,18.025,23.4262674195
 01/06  13:00:00,53.4537726679,5.59147826981,6.09049906343,0.0,18.5889407304,23.1597249699,46.8517270326,5.4055533224,18.025,23.4211737102
 01/06  14:00:00,53.4129245388,5.58669995027,5.80792799965,0.0,18.7433767983,23.2517909448,44.9474728461,3.50156970806,18.025,23.4209031381
 01/06  15:00:00,53.3297989541,5.57954777575,5.73195423432,0.0,18.7433767983,23.2517909448,44.9584917514,3.51281437827,18.025,23.4206773732
 01/06  16:00:00,53.0724344096,5.58438354907,5.75970324398,0.0,18.7433767983,22.9618409725,46.1864626478,4.73849229666,18.025,23.4229703512
 01/06  17:00:00,60.6600633384,5.60346659143,5.10890995206,0.0,18.7433767983,27.431320555,28.5751563247,4.78131393883,18.025,5.76884238583
 01/06  18:00:00,76.2575316626,5.78140583055,4.57194408864,0.0,17.6635504202,40.6971502883,10.5581714399,4.77569325758,0.0,5.78247818236
 01/06  19:00:00,84.1837231489,5.96099879183,5.81310374126,0.0,27.5259009287,37.3340067412,24.975040609,7.55794257201,0.0,17.417098037
 01/06  20:00:00,87.8587691806,6.11868845991,7.00553233504,0.0,33.8341110165,33.3544677425,19.589729978,8.01532199255,0.0,11.5744079855
 01/06  21:00:00,98.023040073,6.37930476605,8.75502731123,0.0,36.5179666069,38.8247702939,20.7135030425,9.14053635815,0.0,11.5729666843
 01/06  22:00:00,93.054178432,6.46387509946,9.21607015798,0.0,32.965339924,36.8579353714,20.9581222901,9.3266458326,0.0,11.6314764575
 01/06  23:00:00,65.9406276605,6.04680553009,6.06716457414,0.0,25.6355707503,20.6438685092,22.1615663556,10.572608978,0.0,11.5889573776
 01/06  24:00:00,43.2548128363,5.71350825763,3.26817525641,0.0,15.0252895274,11.7056064465,24.9838889033,13.4512867903,0.0,11.532602113
 01/07  01:00:00,38.5741430664,5.64269491546,2.48430181819,0.0,12.8411359301,10.0650221343,21.1824321257,15.4131910607,0.0,5.76924106502
 01/07  02:00:00,38.2181212327,5.60602864313,2.16619451487,0.0,12.8411359301,10.0650221343,17.0966304624,17.0766304624,0.0,0.02
 01/07  03:00:00,33.0556563395,5.54193431294,1.6868601359,0.0,8.25718729233,10.0299323277,24.6683961198,18.9063442649,0.0,5.76205185487
 01/07  04:00:00,32.7642137624,5.5084323667,1.42891941641,0.0,8.25718729233,10.0299323277,25.9339702613,20.1723598288,0.0,5.76161043247
 01/07  05:00:00,34.1230774278,5.47862002599,1.21085487658,0.0,8.25718729233,11.6354268332,27.9618321192,22.1927449641,0.0,5.76908715515
 01/07  06:00:00,38.1112795078,5.45650007227,1.06274264703,0.0,8.71707943955,15.3327214929,28.5762009542,22.7999233532,0.0,5.77627760103
 01/07  07:00:00,58.8943939459,5.54092431965,1.66515818142,0.0,18.5082010057,25.6353820695,28.083034778,22.2933419727,0.0,5.78969280534
 01/07  08:00:00,71.1551049201,5.73279264451,3.05000755332,0.0,19.4083231844,41.0650158608,38.2833050887,20.8439329906,0.0,17.439372098
 01/07  09:00:00,95.8768131736,5.96440374856,5.54681861622,0.0,26.3286599382,57.9988325916,58.250135777,16.6325630537,0.0,41.6175727234
 01/07  10:00:00,81.380455191,5.78253344088,6.38695387052,0.0,26.3286599382,42.8504436482,69.482449302,16.0111487121,18.025,35.4463005899
 01/07  11:00:00,55.4981657839,5.53927461217,4.74234364534,0.0,21.7447113004,23.4437158914,64.2458430859,16.7899803317,18.025,29.4308627542
 01/07  12:00:00,52.6116377744,5.50014296685,4.35694653627,0.0,19.3027497915,23.426170988,58.7256054077,17.2124266256,18.025,23.4881787821
 01/07  13:00:00,52.4001971833,5.4824601851,4.02127960565,0.0,19.1483137236,23.7250123474,59.209194774,17.7581525828,18.025,23.4260421911
 01/07  14:00:00,52.3854660157,5.47132207186,3.87213959168,0.0,19.3027497915,23.7161209604,56.9819022751,15.5286839248,18.025,23.4282183503
 01/07  15:00:00,52.2333228775,5.45882080608,3.73249667613,0.0,19.3027497915,23.7161209604,57.7525686341,16.2970026265,18.025,23.4305660076
 01/07  16:00:00,51.9504643318,5.4631703659,3.73523938951,0.0,19.3027497915,23.426170988,65.0953002316,17.7937816514,18.025,29.2765185802
 01/07  17:00:00,59.1469246394,5.44052576529,2.71242227228,0.0225940676547,19.3027497915,27.8956505705,39.8834877102,17.8738198913,18.025,3.98466781886
 01/07  18:00:00,70.5187662809,5.52664686451,1.63012886042,0.0,18.2229234133,37.5968344597,25.8124503212,18.2508389346,0.0,7.56161138653
 01/07  19:00:00,85.7685052936,5.67860694655,2.77449068768,0.0,32.690315043,37.0816133363,27.0993280625,21.3157947693,0.0,5.7835332932
 01/07  20:00:00,86.6489197732,5.77499033969,3.44659578963,0.0,36.8143715336,33.066984531,33.7551344958,22.17952375,0.0,11.5756107458
 01/07  21:00:00,92.8077860045,5.89844862141,4.24192578544,0.0,36.3493007332,38.7721355839,35.4328752609,23.8584411898,0.0,11.5744340711
 01/07  22:00:00,90.7091625064,5.90972090487,4.24989353366,0.0,36.1807251679,36.8228455648,36.2245312699,24.6492194395,0.0,11.5753118304
 01/07  23:00:00,67.627306609,5.69321564341,2.70414781889,0.0,31.0351095914,20.6438685092,37.54042155,25.9078165592,0.0,11.6326049908
 01/07  24:00:00,43.5271531466,5.50080968427,1.34592939481,0.00499218182992,17.4250845679,11.7056064465,39.6224306693,28.061683662,0.0,11.5607470073
 01/08  01:00:00,37.1261068273,5.45577652759,1.02621768406,0.0775402691272,12.925468867,10.100111941,34.9669676345,29.1988444451,0.0,5.76812318936
 01/08  02:00:00,36.9907924528,5.42984859263,0.821908836065,0.173710153636,12.925468867,10.100111941,35.9870457869,30.224892875,0.0,5.76215291187
 01/08  03:00:00,32.2182065698,5.3911011527,0.487573867947,0.393247372086,8.34152022915,10.0650221343,31.3275528653,31.3075528653,0.0,0.02
 01/08  04:00:00,32.2494359164,5.38170171933,0.343064185448,0.578383969443,8.34152022915,10.0650221343,37.779120708,32.0169679611,0.0,5.7621527469
 01/08  05:00:00,33.8937342879,5.3697238586,0.218284322658,0.752697971978,8.34152022915,11.6705166398,39.0524563655,33.283768448,0.0,5.76868791759
 01/08  06:00:00,38.1034606916,5.36319361801,0.139737096928,0.889067273869,8.80141237637,15.3678112995,38.5904876266,32.8141149604,0.0,5.77637266617
 01/08  07:00:00,58.4606237476,5.42014595984,0.608982503786,0.743175316744,18.5082010057,25.6353820695,43.2786046819,31.716988129,0.0,11.5616165529
 01/08  08:00:00,70.3762257557,5.58133031606,1.91517504287,0.387984445602,19.4926561212,41.1001056674,47.7344890673,30.2935245695,0.0,17.4409644978
 01/08  09:00:00,94.3909193363,5.80581998112,4.08168000234,0.137818037917,26.3286599382,57.9988325916,59.8657571115,24.1898281422,0.0,35.6759289693
 01/08  10:00:00,79.6858409582,5.61679808884,4.72687123656,0.25062017975,26.2443270014,42.8153538416,77.1489417822,23.6825407298,18.025,35.4414010524
 01/08  11:00:00,54.5427358185,5.40844140467,3.16933362846,0.748406882831,21.7447113004,23.4437158914,72.4462845029,24.9880773736,18.025,29.4332071294
 01/08  12:00:00,52.0697775764,5.3856793547,2.9542566153,0.915578045936,19.3449162599,23.4437158914,72.7209903131,25.339999468,18.025,29.355990845
 01/08  13:00:00,52.1110096753,5.38392809672,2.71453870122,1.05636914339,19.190480192,23.7425572507,67.4023879285,25.9564273276,18.025,23.4209606009
 01/08  14:00:00,52.2715997633,5.38899070163,2.64136448761,1.2589511518,19.260583323,23.698576057,65.1875384129,23.7418221047,18.025,23.4207163081
 01/08  15:00:00,52.5291564901,5.39690311892,2.59048398785,1.55947565704,19.260583323,23.698576057,65.0312622285,23.5855646597,18.025,23.4206975689
